iso_language_code	to_user_id	to_user_id_str	text	created_at	profile_image_url	id	to_user	source	id_str	from_user	from_user_id	metadata	geo	from_user_id_str	location	place
"en"	"8799649"	"8799649"	"@charliesheen's show may be shit, but you bought the tickets. Sorry, because of YOU he's still #winning"	"Tue, 05 Apr 2011 13:54:41 +0000"	"http://a2.twimg.com/profile_images/1193823892/skinny_face_normal.jpg"	"55267113396469760"	"charliesheen"	"<a href="http://www.samsungmobile.com" rel="nofollow">Samsung Mobile</a>"	"55267113396469760"	"jaqifurback"	"223518815"	"{u'result_type': u'recent'}"	"None"	"223518815"	"nyc"	
"en"	"None"	"None"	"http://t.co/jlEWjnV

Still my favorite! @tonibraxton"	"Tue, 05 Apr 2011 13:54:40 +0000"	"http://a3.twimg.com/profile_images/1296670560/IMG_2343_normal.JPG"	"55267109667745792"		"<a href="http://mobile.twitter.com" rel="nofollow">Twitter for Android</a>"	"55267109667745792"	"JerseyAni"	"163046829"	"{u'result_type': u'recent'}"	"None"	"163046829"	"North Jersey"	
"en"	"6812658"	"6812658"	"@GRat9717 The Rammstein ticket is yours, if you still want it, :-)."	"Tue, 05 Apr 2011 13:54:37 +0000"	"http://a0.twimg.com/profile_images/181778065/n302254_33733991_4641363_normal.jpg"	"55267097642680320"	"GRat9717"	"<a href="http://twitter.com/">web</a>"	"55267097642680320"	"l_neiman"	"7382896"	"{u'result_type': u'recent'}"	"None"	"7382896"	"New York City"	
"en"	"None"	"None"	"Wake up in the mornin and still high"	"Tue, 05 Apr 2011 13:54:37 +0000"	"http://a1.twimg.com/profile_images/1278683525/Picture0058_normal.jpg"	"55267095428087808"		"<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>"	"55267095428087808"	"MiLORD_ema"	"253889050"	"{u'result_type': u'recent'}"	"None"	"253889050"	"New York"	
"en"	"2696298"	"2696298"	"@Anji_Beast The VA choice was an awesome touch, but this still just looks like a ThunderCats anime. I like anime, but not in my ThunderCats"	"Tue, 05 Apr 2011 13:54:33 +0000"	"http://a1.twimg.com/profile_images/1137043531/IMG_5576_normal.jpg"	"55267082694168576"	"Anji_Beast"	"<a href="http://twitter.com/">web</a>"	"55267082694168576"	"SubitoAllegra"	"98349534"	"{u'result_type': u'recent'}"	"None"	"98349534"	"New York, NY"	
"en"	"None"	"None"	"Are people still not brushing their tongues because I'm really over all this bad breath. Its like they always wanna sigh and huff and puff."	"Tue, 05 Apr 2011 12:33:53 +0000"	"http://a1.twimg.com/profile_images/1286148895/Amber_normal.jpg"	"55246779314216960"		"<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>"	"55246779314216960"	"AmberYum"	"147840420"	"{u'result_type': u'recent'}"	"None"	"147840420"	"Brooklyn..."	
"en"	"None"	"None"	"I still LOVE YOU MR CEE. Ur one of the best @ what u do!"	"Tue, 05 Apr 2011 12:33:49 +0000"	"http://a1.twimg.com/profile_images/1210966509/7117_1101186940342_1546745054_30273553_5904076_a_normal.jpg"	"55246764332163072"		"<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>"	"55246764332163072"	"PREMESQUEEN"	"13149889"	"{u'result_type': u'recent'}"	"None"	"13149889"	"Queens New York"	
"en"	"None"	"None"	"I walked my pup at 1am 5 am and now at 8 am if he still messes in my house  you've won #ilost"	"Tue, 05 Apr 2011 12:33:45 +0000"	"http://a1.twimg.com/profile_images/1181013994/image_normal.jpg"	"55246746623803392"		"<a href="http://twitter.com/" rel="nofollow">Twitter for iPhone</a>"	"55246746623803392"	"saloneprincess"	"30720997"	"{u'result_type': u'recent'}"	"None"	"30720997"	"lowa east side!"	
"en"	"14499016"	"14499016"	"@Nawshus yeah angie still cool but besides her nah"	"Tue, 05 Apr 2011 12:33:38 +0000"	"http://a1.twimg.com/profile_images/1271173204/d565f9988aa6b0493bee2c6f195f63c35abcdefg_normal.jpg"	"55246717620195328"	"Nawshus"	"<a href="http://ubersocial.com" rel="nofollow">ÜberSocial</a>"	"55246717620195328"	"PrestonHarrell"	"4797859"	"{u'result_type': u'recent'}"	"None"	"4797859"	"ÜT: 40.684841,-73.922871"	
"en"	"18064172"	"18064172"	"@PastorRo P.RO! I am slowly recovering. Still in and out of hospitals though :("	"Tue, 05 Apr 2011 12:33:34 +0000"	"http://a1.twimg.com/profile_images/1192201107/tweet_normal.jpg"	"55246698917806082"	"PastorRo"	"<a href="http://twitter.com/">web</a>"	"55246698917806082"	"quartz15"	"199494194"	"{u'result_type': u'recent'}"	"None"	"199494194"	"nyc"	
