iso_language_code	to_user_id	to_user_id_str	text	created_at	profile_image_url	id	source	id_str	from_user	from_user_id	metadata	geo	from_user_id_str	location	to_user	place
"en"	"None"	"None"	"Smh haven't talked to her all day guess she busy or some shit idk"	"Mon, 04 Apr 2011 22:49:20 +0000"	"http://a3.twimg.com/profile_images/1292106895/image_normal.jpg"	"55039274688593920"	"<a href="http://twitter.com/" rel="nofollow">Twitter for iPhone</a>"	"55039274688593920"	"RealBrooklynboi"	"262904108"	"{u'result_type': u'recent'}"	"None"	"262904108"	"Brooklyn"		
"en"	"None"	"None"	". @CharlieSheen  gets busy with the editing. He's definitely lost it but, apparently, he can also be somewhat amusing http://bit.ly/e33QNO"	"Mon, 04 Apr 2011 22:49:18 +0000"	"http://a1.twimg.com/profile_images/454615997/darwin_cool_normal.gif"	"55039267096891392"	"<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>"	"55039267096891392"	"skepticalguy"	"67314001"	"{u'result_type': u'recent'}"	"None"	"67314001"	"Brooklyn, NY"		
"en"	"140570163"	"140570163"	"@gallantada Thanks :) nm just relaxing had a busy day today running around lol ! hbu ? #OpenTheDoorMM"	"Mon, 04 Apr 2011 22:49:10 +0000"	"http://a2.twimg.com/profile_images/1177775417/mitchel_last_try_normal.jpg"	"55039232120590337"	"<a href="http://twitter.com/">web</a>"	"55039232120590337"	"Mitchel_NYCFan"	"97879490"	"{u'result_type': u'recent'}"	"None"	"97879490"	"nyc"	"gallantada"	
"en"	"None"	"None"	"Am I just that busy or just lacking shit to talk?"	"Mon, 04 Apr 2011 22:47:41 +0000"	"http://a2.twimg.com/profile_images/1268240432/IMG00017-20110209-1601_normal.jpg"	"55038859318272000"	"<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>"	"55038859318272000"	"rottingtv"	"13244145"	"{u'result_type': u'recent'}"	"None"	"13244145"	"nyc"		
"en"	"None"	"None"	"RT @MovingOnTips: Cultivate new hobbies. Do all those things that you LIKE to do. Stay busy all the time. #MovingOnTips"	"Mon, 04 Apr 2011 22:46:37 +0000"	"http://a0.twimg.com/profile_images/1298182510/020420111737_conew1_normal.jpg"	"55038592313065472"	"<a href="http://cotweet.com/?utm_source=sp1" rel="nofollow">CoTweet</a>"	"55038592313065472"	"EuodiaLouis"	"202032935"	"{u'result_type': u'recent'}"	"None"	"202032935"	"New York, USA"		
"en"	"None"	"None"	"RT @Mr_POPular: More people would learn from their mistakes if they weren't so busy denying them."	"Mon, 04 Apr 2011 22:46:05 +0000"	"http://a2.twimg.com/profile_images/1295166000/Me_normal.jpg"	"55038458082770944"	"<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>"	"55038458082770944"	"SoooAda"	"49259414"	"{u'result_type': u'recent'}"	"None"	"49259414"	"Brooklyn New York Studio flow "		
"en"	"None"	"None"	"At audition call-backs .Today has been BUSY but good."	"Mon, 04 Apr 2011 22:45:53 +0000"	"http://a0.twimg.com/profile_images/1223006285/DSCN0990_normal.JPG"	"55038407809826817"	"<a href="http://ubersocial.com" rel="nofollow">ÜberSocial</a>"	"55038407809826817"	"MeloxWorld"	"82502769"	"{u'result_type': u'recent'}"	"None"	"82502769"	"NY.PA.MD.DC"		
"en"	"None"	"None"	"“@BeckyRhodes: I was that busy chatting shit I missed my 10k tweet celebration” <<< delete and start a new one loool"	"Mon, 04 Apr 2011 22:45:48 +0000"	"http://a3.twimg.com/profile_images/1294347702/image_normal.jpg"	"55038388323098624"	"<a href="http://twitter.com/" rel="nofollow">Twitter for iPhone</a>"	"55038388323098624"	"DJTIGGALS7"	"13497022"	"{u'result_type': u'recent'}"	"None"	"13497022"	" C-TOWN  LS7"		
"en"	"None"	"None"	"What a day to start  the week, very busy monday, tired and starving, thank God I was able to pull through.  Hello tweeps"	"Mon, 04 Apr 2011 22:44:32 +0000"	"http://a0.twimg.com/profile_images/1277269786/IMG00306-20100420-2159_normal.jpg"	"55038068637437952"	"<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>"	"55038068637437952"	"SAILO101"	"126398893"	"{u'result_type': u'recent'}"	"None"	"126398893"	"nyc"		
"en"	"118310543"	"118310543"	"@NeenahBoo2 Busy day. Still working. Out for Greek food in an hour! You?"	"Mon, 04 Apr 2011 22:44:09 +0000"	"http://a2.twimg.com/profile_images/1183030268/hand-gloved-for-prostate-exam_normal.jpg"	"55037969735745536"	"<a href="http://twitter.com/">web</a>"	"55037969735745536"	"mikeslikesit"	"7791701"	"{u'result_type': u'recent'}"	"None"	"7791701"	"New York"	"NeenahBoo2"	
"en"	"None"	"None"	"RT @Ronsmoooth: Some people can't find the RIGHT person, because they're too busy looking for the PERFECT person."	"Mon, 04 Apr 2011 22:43:59 +0000"	"http://a2.twimg.com/profile_images/1297714553/Daje_normal.jpg"	"55037930443509760"	"<a href="http://twitter.com/">web</a>"	"55037930443509760"	"PrettyGirlMeko"	"225384525"	"{u'result_type': u'recent'}"	"None"	"225384525"	"Brooklyn, NY"		
"en"	"None"	"None"	"Understanding anti-aging benefits and their resources | Health ...: People are busy with new antiaging therapy a... http://bit.ly/fRuQx8"	"Mon, 04 Apr 2011 22:40:22 +0000"	"http://a3.twimg.com/profile_images/997888506/Brooke_Casey_normal.jpg"	"55037019570708480"	"<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>"	"55037019570708480"	"CASEBROOK"	"126311507"	"{u'result_type': u'recent'}"	"None"	"126311507"	"New York City!"		
"en"	"83904115"	"83904115"	"@Ama2Beautiful oh ok that's cool,been a little busy too."	"Mon, 04 Apr 2011 22:39:08 +0000"	"http://a3.twimg.com/profile_images/1146941266/26884_1385004315271_1536915398_30987845_4823895_n_normal.jpg"	"55036709708103680"	"<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>"	"55036709708103680"	"CrissWaddle"	"118299745"	"{u'result_type': u'recent'}"	"None"	"118299745"	"New York-Bronx,Tema"	"Ama2Beautiful"	
"en"	"None"	"None"	"Nothing like missing lunch at work bc youre too busy and treating yourself to THREE kinds of vegan wings, mac n cheez and milkshake. Yay!"	"Mon, 04 Apr 2011 22:38:57 +0000"	"http://a0.twimg.com/profile_images/1208129601/d_tw2_normal.jpg"	"55036662975180800"	"<a href="http://mobile.twitter.com" rel="nofollow">Twitter for Android</a>"	"55036662975180800"	"danielleruckus"	"4788041"	"{u'result_type': u'recent'}"	"None"	"4788041"	"New York"		
"en"	"None"	"None"	"RT @Ronsmoooth: Some people can't find the RIGHT person, because they're too busy looking for the PERFECT person."	"Mon, 04 Apr 2011 22:38:25 +0000"	"http://a1.twimg.com/profile_images/1291674193/174437_826795726_3213048_n_normal.jpg"	"55036526509297664"	"<a href="http://twitter.com/">web</a>"	"55036526509297664"	"ishababi11"	"30924838"	"{u'result_type': u'recent'}"	"None"	"30924838"	"Brooklyn, NY"		
"en"	"None"	"None"	"Papa papa paparazzi! Busy day in the gallery today"	"Mon, 04 Apr 2011 22:37:32 +0000"	"http://a2.twimg.com/profile_images/768273374/005_normal.jpg"	"55036305494650880"	"<a href="http://twitter.com/" rel="nofollow">Twitter for iPhone</a>"	"55036305494650880"	"Kristen_Farrell"	"135378263"	"{u'result_type': u'recent'}"	"None"	"135378263"	"SoHo, New York City"		
"en"	"None"	"None"	"And, provided I'm not too busy, the first Yankee game of the season I'm watching! Ahhh, baseball. How I've missed you."	"Mon, 04 Apr 2011 22:37:25 +0000"	"http://a2.twimg.com/profile_images/1123781663/profile_image_1284488616525_normal.jpg"	"55036276063219714"	"<a href="http://www.tweetcaster.com" rel="nofollow">TweetCaster</a>"	"55036276063219714"	"marciaherold"	"86590058"	"{u'result_type': u'recent'}"	"None"	"86590058"	"Brooklyn"		
"en"	"20937317"	"20937317"	"@gothamc Yeah! P is busy as ever and when we're in LA we'll let you know!"	"Mon, 04 Apr 2011 22:36:34 +0000"	"http://a3.twimg.com/profile_images/1211509195/BWPhoto_normal.jpg"	"55036060526317568"	"<a href="http://www.hootsuite.com" rel="nofollow">HootSuite</a>"	"55036060526317568"	"Cocoabebe"	"47166"	"{u'result_type': u'recent'}"	"None"	"47166"	"New York"	"gothamc"	
"en"	"None"	"None"	"Headin' home! To go to temple tonight or not...it was a busy day after all. =/"	"Mon, 04 Apr 2011 22:35:53 +0000"	"http://a1.twimg.com/profile_images/1271445123/0a14b493-3142-4c45-ba35-55e92e346fa2_normal.png"	"55035892104040448"	"<a href="http://twitter.com/devices" rel="nofollow">txt</a>"	"55035892104040448"	"nait0mea"	"144445025"	"{u'result_type': u'recent'}"	"None"	"144445025"	"USA, NYC =D !"		
"en"	"None"	"None"	"RT @Modelinia: .@ScottLipps is keeping very busy @onemanagement - they just launched a new division called One.1 all about beauty! -- http://bit.ly/gyQfZV"	"Mon, 04 Apr 2011 22:35:37 +0000"	"http://a1.twimg.com/profile_images/1300077377/189106_196866930336897_120405247983066_670451_8135497_n_1__normal.jpg"	"55035824210845696"	"<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>"	"55035824210845696"	"shamalik1988"	"266412282"	"{u'result_type': u'recent'}"	"None"	"266412282"	"nyc"		
"en"	"198476705"	"198476705"	"@ayeamorr we have damn than I don't remember I've been busy lately but yeah trying to catch up with everyone so whatsup?"	"Mon, 04 Apr 2011 22:35:20 +0000"	"http://a3.twimg.com/profile_images/1297844534/1301798354153_normal.jpg"	"55035753209675776"	"<a href="http://mobile.twitter.com" rel="nofollow">Twitter for Android</a>"	"55035753209675776"	"BrAnD_dA_MaN"	"223635174"	"{u'result_type': u'recent'}"	"{u'type': u'Point', u'coordinates': [40.748399999999997, -74.052000000000007]}"	"223635174"	"40.748400, -74.052000"	"ayeamorr"	"{u'type': u'city', u'id': u'b046074b1030a44d', u'full_name': u'Jersey City, NJ'}"
"en"	"251205437"	"251205437"	"@MsPorschaMonet I'm sorry I was extra busy this am but I will have my mom send them now....I'm excited to here more about it"	"Mon, 04 Apr 2011 22:34:52 +0000"	"http://a3.twimg.com/profile_images/1297943068/SUPERLATIVE_normal.jpg"	"55035635936919553"	"<a href="http://mobile.twitter.com" rel="nofollow">Twitter for Android</a>"	"55035635936919553"	"CEOMeechGold"	"122230360"	"{u'result_type': u'recent'}"	"None"	"122230360"	"Brooklyn, NY via the DMV"	"MsPorschaMonet"	
"en"	"None"	"None"	"Stoners...yes...forgot them...they didn't hang in the cafeteria much...too busy getting high. @Fnnkybutt"	"Mon, 04 Apr 2011 22:34:44 +0000"	"http://a1.twimg.com/profile_images/1290761283/200014_1958140030202_1143799523_2458752_4197808_n_normal.jpg"	"55035600360849409"	"<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>"	"55035600360849409"	"NYCityMama"	"3705866"	"{u'result_type': u'recent'}"	"None"	"3705866"	"New York City"		
"en"	"None"	"None"	"RT @CoColavita: "There are only the pursued, the pursuing, the busy and the tired"-Jordan Baker, The Great Gatsby"	"Mon, 04 Apr 2011 22:34:39 +0000"	"http://a2.twimg.com/profile_images/1291767652/image_normal.jpg"	"55035578420432897"	"<a href="http://twitterrific.com" rel="nofollow">Twitterrific</a>"	"55035578420432897"	"vaguevogue"	"19825043"	"{u'result_type': u'recent'}"	"None"	"19825043"	"New York"		
"en"	"None"	"None"	"Busy editing a promo video I shot a few weeks ago for top model #LindaVojtova.. Soon on my blog!
 http://yfrog.com/h8lhsbjj #maccosmetics"	"Mon, 04 Apr 2011 22:34:24 +0000"	"http://a2.twimg.com/profile_images/1282415507/Me_Reservoir_normal.JPG"	"55035515841421313"	"<a href="http://twitterrific.com" rel="nofollow">Twitterrific for Mac</a>"	"55035515841421313"	"giovanniferlito"	"139324764"	"{u'result_type': u'recent'}"	"None"	"139324764"	"New York"		
"en"	"None"	"None"	""Get busy living, or get busy dying." from the movie, The Shawshank Redemption"	"Mon, 04 Apr 2011 22:33:54 +0000"	"http://a0.twimg.com/profile_images/1180156605/llama_normal.jpeg"	"55035393090920448"	"<a href="http://seesmic.com/seesmic_desktop/sd2" rel="nofollow">Seesmic Desktop</a>"	"55035393090920448"	"jdgastolomendo"	"141148108"	"{u'result_type': u'recent'}"	"None"	"141148108"	"Brooklyn, NY"		
"en"	"None"	"None"	"busy bees make the honey sweeter..."	"Mon, 04 Apr 2011 22:32:21 +0000"	"http://a2.twimg.com/profile_images/1109923056/1_normal.JPG"	"55034999853957120"	"<a href="http://twitter.com/">web</a>"	"55034999853957120"	"joshuameyerson"	"134681152"	"{u'result_type': u'recent'}"	"None"	"134681152"	"NY"		
"en"	"None"	"None"	"This Is one busy as month for me... Hope @rashaaddenzel is ready for that meeting with @liltwist and I tomorrow"	"Mon, 04 Apr 2011 22:30:41 +0000"	"http://a0.twimg.com/profile_images/1292893214/radio_normal.jpg"	"55034581870575616"	"<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>"	"55034581870575616"	"Evan_WhySoMoody"	"216142762"	"{u'result_type': u'recent'}"	"None"	"216142762"	"Brooklyn, New York"		
"en"	"None"	"None"	"RT @Modelinia: .@ScottLipps is keeping very busy @onemanagement - they just launched a new division called One.1 all about beauty! -- http://bit.ly/gyQfZV"	"Mon, 04 Apr 2011 22:30:38 +0000"	"http://a1.twimg.com/profile_images/1218995858/BOSS-popup_normal.jpg"	"55034570717929473"	"<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>"	"55034570717929473"	"Scottlipps"	"6398768"	"{u'result_type': u'recent'}"	"None"	"6398768"	"nyc"		
"en"	"None"	"None"	"Anytime my friends ask me to go somewhere, I'm gonna say I'm busy... (rolling my eyes)"	"Mon, 04 Apr 2011 22:30:31 +0000"	"http://a1.twimg.com/profile_images/1249101880/Photo_on_2011-02-18_at_22.40_normal.jpg"	"55034539269029888"	"<a href="http://twidroyd.com" rel="nofollow">twidroyd</a>"	"55034539269029888"	"ULoveTashi"	"128114982"	"{u'result_type': u'recent'}"	"None"	"128114982"	"40.7561, -73.8709  NEW YAWK  "		
"en"	"9483492"	"9483492"	"@orianthi :))) i almost thought u forgot about me lol... u still busy writing?"	"Mon, 04 Apr 2011 22:30:26 +0000"	"http://a2.twimg.com/profile_images/1213064158/Orianthi_Icon_by_faerietaledreams_normal.png"	"55034519878762496"	"<a href="http://twitter.com/">web</a>"	"55034519878762496"	"Ori_Addiction"	"132715111"	"{u'result_type': u'recent'}"	"None"	"132715111"	"New York"	"orianthi"	
"en"	"91753976"	"91753976"	"@intuitionheals I've been sooooo busy today!!!!!!"	"Mon, 04 Apr 2011 22:27:30 +0000"	"http://a2.twimg.com/profile_images/1258216867/twitter_1_normal.jpg"	"55033781022765056"	"<a href="http://twitter.com/">web</a>"	"55033781022765056"	"cocodark"	"5169383"	"{u'result_type': u'recent'}"	"None"	"5169383"	"New York City"	"intuitionheals"	
"en"	"None"	"None"	"RT @Mr_POPular: More people would learn from their mistakes if they weren't so busy denying them."	"Mon, 04 Apr 2011 22:26:29 +0000"	"http://a3.twimg.com/profile_images/1283505787/Twiter2_normal.jpg"	"55033523567984640"	"<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>"	"55033523567984640"	"CONVERSEalldai"	"241929307"	"{u'result_type': u'recent'}"	"None"	"241929307"	"Brooklyn New York Studio flow "		
"en"	"None"	"None"	"Dominating my new position its all selling, I'm so busy and the day flies by - LOVE!"	"Mon, 04 Apr 2011 22:26:08 +0000"	"http://a0.twimg.com/profile_images/1250969507/twitter1_normal.JPG"	"55033437878362112"	"<a href="http://ubersocial.com" rel="nofollow">ÜberSocial</a>"	"55033437878362112"	"Ashley_Live"	"5265776"	"{u'result_type': u'recent'}"	"None"	"5265776"	"New York, NY"		
"en"	"105885167"	"105885167"	"@BOARDROOMSHOW  AIGHT I WILL SHOW YA HOW TO DO THE SITE >HE JUST BEEN VERY BUSY @micvicious"	"Mon, 04 Apr 2011 22:25:54 +0000"	"http://a2.twimg.com/profile_images/1299906843/BK133_normal.jpg"	"55033379334275072"	"<a href="http://twitter.com/">web</a>"	"55033379334275072"	"BR00K_"	"3168646"	"{u'result_type': u'recent'}"	"None"	"3168646"	"ÜT: 40.612332,-73.995065"	"BOARDROOMSHOW"	
"en"	"None"	"None"	"Busy editing a promo video I shot a few weeks ago for top model Linda Vojtova.. I'll post about soon on my blog!... http://fb.me/INSH0Jzi"	"Mon, 04 Apr 2011 22:25:45 +0000"	"http://a2.twimg.com/profile_images/1282415507/Me_Reservoir_normal.JPG"	"55033340629233664"	"<a href="http://www.facebook.com/twitter" rel="nofollow">Facebook</a>"	"55033340629233664"	"giovanniferlito"	"139324764"	"{u'result_type': u'recent'}"	"None"	"139324764"	"New York"		
"en"	"None"	"None"	"How come everythings 'such a good idea' until it starts to be planned.. Then suddenly everyones busy... Wahh"	"Mon, 04 Apr 2011 22:24:48 +0000"	"http://a2.twimg.com/profile_images/1250600620/IMG00313-20101011-1619_normal.jpg"	"55033101956558848"	"<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>"	"55033101956558848"	"BeccaAguanno"	"53161301"	"{u'result_type': u'recent'}"	"None"	"53161301"	"New York"		
"en"	"None"	"None"	"Hello! @mwj1231 Good to see you here! I'm doing well just a little busy. How are things with you?"	"Mon, 04 Apr 2011 22:24:20 +0000"	"http://a2.twimg.com/profile_images/1149376670/Buttercup-buttercup-powerpuff-girls-6612632-130-86_normal.jpg"	"55032985610756097"	"<a href="http://www.hootsuite.com" rel="nofollow">HootSuite</a>"	"55032985610756097"	"MzYun"	"21378745"	"{u'result_type': u'recent'}"	"None"	"21378745"	"New York"		
"en"	"None"	"None"	"RT @ashleytisdale: Morning! Off to a busy day.... Getting ready to promote "sharpays fabulous adventure" yay!!!"	"Mon, 04 Apr 2011 22:23:02 +0000"	"http://a3.twimg.com/profile_images/1298011696/oh_goofy_i_love_you_normal.jpg"	"55032655166713856"	"<a href="http://twitter.com/" rel="nofollow">Twitter for iPhone</a>"	"55032655166713856"	"Nati4evergleek"	"221210885"	"{u'result_type': u'recent'}"	"None"	"221210885"	"40.766009,-73.978664"		
"en"	"1954917"	"1954917"	"@kaijuisme Wow! You are BUSY!"	"Mon, 04 Apr 2011 22:22:29 +0000"	"http://a2.twimg.com/profile_images/1149376670/Buttercup-buttercup-powerpuff-girls-6612632-130-86_normal.jpg"	"55032518784724992"	"<a href="http://www.hootsuite.com" rel="nofollow">HootSuite</a>"	"55032518784724992"	"MzYun"	"21378745"	"{u'result_type': u'recent'}"	"None"	"21378745"	"New York"	"kaijuisme"	
"en"	"None"	"None"	"Such a busy day at work today! Hopefully I can leave soon :("	"Mon, 04 Apr 2011 22:22:19 +0000"	"http://a2.twimg.com/profile_images/1227674621/trmg_copy_normal.jpg"	"55032476120256512"	"<a href="http://twitter.com/">web</a>"	"55032476120256512"	"realmeangirl"	"219779680"	"{u'result_type': u'recent'}"	"None"	"219779680"	"NY, NY"		
"en"	"None"	"None"	"RT @ashleytisdale: Morning! Off to a busy day.... Getting ready to promote "sharpays fabulous adventure" yay!!!"	"Mon, 04 Apr 2011 22:22:04 +0000"	"http://a0.twimg.com/profile_images/1300056493/tumblr_lj5b60rXlv1qfwr0qo1_500_normal.jpg"	"55032414141030400"	"<a href="http://twitter.com/" rel="nofollow">Twitter for iPhone</a>"	"55032414141030400"	"SarfatiFamily"	"198084312"	"{u'result_type': u'recent'}"	"None"	"198084312"	"40.766009,-73.978664"		
"en"	"None"	"None"	"RT @metspolice Piazza and Clemens discuss Piazza and Clemens: Wow busy off day! Here’s audio of Mike Piazza an... http://bit.ly/hvGig1 #mets"	"Mon, 04 Apr 2011 22:21:21 +0000"	"http://a0.twimg.com/profile_images/1258698969/IMG00027-20100407-1703_normal.jpg"	"55032231487475712"	"<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>"	"55032231487475712"	"thecrazymetsfan"	"101952967"	"{u'result_type': u'recent'}"	"None"	"101952967"	"flushing, ny"		
