iso_language_code	to_user_id	to_user_id_str	text	created_at	profile_image_url	id	to_user	source	id_str	from_user	from_user_id	metadata	geo	from_user_id_str	location	place
"en"	"None"	"None"	"RT @DamnItsTrue: LIFE = MOVIE! Sad, drama. Scared, suspence. Angry, action. If you look in the mirror, horror! #DamnItsTrue"	"Wed, 30 Mar 2011 10:42:01 +0000"	"http://a2.twimg.com/profile_images/1287800761/Smileyy_normal.jpg"	"53044301717970944"		"<a href="http://cotweet.com/?utm_source=sp1" rel="nofollow">CoTweet</a>"	"53044301717970944"	"Ghinalifian"	"69917729"	"{u'result_type': u'recent'}"	"None"	"69917729"	"New York City"	
"en"	"None"	"None"	"RT @DamnItsTrue: LIFE = MOVIE! Sad, drama. Scared, suspence. Angry, action. If you look in the mirror, horror! #DamnItsTrue"	"Wed, 30 Mar 2011 10:41:58 +0000"	"http://a0.twimg.com/profile_images/1258443345/I_love_Malang_by_tomoisme_normal.jpg"	"53044290309468160"		"<a href="http://cotweet.com/?utm_source=sp1" rel="nofollow">CoTweet</a>"	"53044290309468160"	"tito9020"	"126063905"	"{u'result_type': u'recent'}"	"None"	"126063905"	"New York City"	
"en"	"None"	"None"	"RT @DamnItsTrue: LIFE = MOVIE! Sad, drama. Scared, suspence. Angry, action. If you look in the mirror, horror! #DamnItsTrue"	"Wed, 30 Mar 2011 10:41:56 +0000"	"http://a0.twimg.com/profile_images/1290102443/cr___fffffuuuu_by_milky_return-d34uwq7_normal.png"	"53044281199427584"		"<a href="http://cotweet.com/?utm_source=sp1" rel="nofollow">CoTweet</a>"	"53044281199427584"	"milkyqueen"	"81530274"	"{u'result_type': u'recent'}"	"None"	"81530274"	"New York City"	
"en"	"None"	"None"	"RT @DamnItsTrue: LIFE = MOVIE! Sad, drama. Scared, suspence. Angry, action. If you look in the mirror, horror! #DamnItsTrue"	"Wed, 30 Mar 2011 10:41:55 +0000"	"http://a3.twimg.com/profile_images/1198028161/Demii_normal.jpg"	"53044275927199744"		"<a href="http://cotweet.com/?utm_source=sp1" rel="nofollow">CoTweet</a>"	"53044275927199744"	"Oonava"	"144347293"	"{u'result_type': u'recent'}"	"None"	"144347293"	"New York City"	
"en"	"None"	"None"	"RT @DamnItsTrue: LIFE = MOVIE! Sad, drama. Scared, suspence. Angry, action. If you look in the mirror, horror! #DamnItsTrue"	"Wed, 30 Mar 2011 10:41:49 +0000"	"http://a0.twimg.com/profile_images/1292270788/edit_5_normal.jpg"	"53044252611067904"		"<a href="http://cotweet.com/?utm_source=sp1" rel="nofollow">CoTweet</a>"	"53044252611067904"	"L_lecii"	"219597711"	"{u'result_type': u'recent'}"	"None"	"219597711"	"New York City"	
"en"	"None"	"None"	"RT @DamnItsTrue: LIFE = MOVIE! Sad, drama. Scared, suspence. Angry, action. If you look in the mirror, horror! #DamnItsTrue"	"Wed, 30 Mar 2011 10:41:49 +0000"	"http://a1.twimg.com/profile_images/1282642639/Capture19_14_35_normal.jpg"	"53044249146572800"		"<a href="http://cotweet.com/?utm_source=sp1" rel="nofollow">CoTweet</a>"	"53044249146572800"	"eviieeCHOCO"	"246014202"	"{u'result_type': u'recent'}"	"None"	"246014202"	"New York City"	
"en"	"None"	"None"	"RT @DamnItsTrue: LIFE = MOVIE! Sad, drama. Scared, suspence. Angry, action. If you look in the mirror, horror! #DamnItsTrue"	"Wed, 30 Mar 2011 10:41:47 +0000"	"http://a1.twimg.com/profile_images/1254313106/Photo_00574_edit_normal.jpg"	"53044240707633152"		"<a href="http://cotweet.com/?utm_source=sp1" rel="nofollow">CoTweet</a>"	"53044240707633152"	"vayahvay"	"118849647"	"{u'result_type': u'recent'}"	"None"	"118849647"	"New York City"	
"en"	"None"	"None"	"RT @DamnItsTrue: LIFE = MOVIE! Sad, drama. Scared, suspence. Angry, action. If you look in the mirror, horror! #DamnItsTrue"	"Wed, 30 Mar 2011 10:41:45 +0000"	"http://a1.twimg.com/profile_images/1292598621/IMG03748-20110330-0734_normal.jpg"	"53044232730050560"		"<a href="http://cotweet.com/?utm_source=sp1" rel="nofollow">CoTweet</a>"	"53044232730050560"	"sarciarra"	"233742509"	"{u'result_type': u'recent'}"	"None"	"233742509"	"New York City"	
"en"	"None"	"None"	"RT @DamnItsTrue: LIFE = MOVIE! Sad, drama. Scared, suspence. Angry, action. If you look in the mirror, horror! #DamnItsTrue"	"Wed, 30 Mar 2011 10:41:37 +0000"	"http://a1.twimg.com/profile_images/1256456102/SP_A1621_normal.jpg"	"53044200668798976"		"<a href="http://cotweet.com/?utm_source=sp1" rel="nofollow">CoTweet</a>"	"53044200668798976"	"gathaDEVIL"	"228776086"	"{u'result_type': u'recent'}"	"None"	"228776086"	"New York City"	
"en"	"None"	"None"	"RT @DamnItsTrue: LIFE = MOVIE! Sad, drama. Scared, suspence. Angry, action. If you look in the mirror, horror! #DamnItsTrue"	"Wed, 30 Mar 2011 10:41:36 +0000"	"http://a1.twimg.com/profile_images/1291367897/cats0123_normal.jpg"	"53044196029894656"		"<a href="http://cotweet.com/?utm_source=sp1" rel="nofollow">CoTweet</a>"	"53044196029894656"	"lulu_luthfiyah"	"174802763"	"{u'result_type': u'recent'}"	"None"	"174802763"	"New York City"	
