iso_language_code	to_user_id	to_user_id_str	text	created_at	profile_image_url	id	to_user	source	id_str	from_user	from_user_id	metadata	geo	from_user_id_str	location	place
"en"	"None"	"None"	"RT @miilkkk: I hope you choke on the lies you tell; but then again.. Its kind of hard to swallow that much bullshit"	"Wed, 30 Mar 2011 14:18:27 +0000"	"http://a1.twimg.com/profile_images/1283570912/1_normal.jpg"	"53098766651240448"		"<a href="http://mobile.twitter.com" rel="nofollow">Twitter for Android</a>"	"53098766651240448"	"RikkiWorld_"	"204908915"	"{u'result_type': u'recent'}"	"None"	"204908915"	"Brooklyn ,NY"	
"en"	"None"	"None"	"RT @miilkkk: I hope you choke on the lies you tell; but then again.. Its kind of hard to swallow that much bullshit"	"Wed, 30 Mar 2011 14:18:22 +0000"	"http://a2.twimg.com/profile_images/1291012727/cerealkillher__normal.jpg"	"53098746870890496"		"<a href="http://mobile.twitter.com" rel="nofollow">Twitter for Android</a>"	"53098746870890496"	"cerealkillher_"	"251459157"	"{u'result_type': u'recent'}"	"None"	"251459157"	"Brooklyn ,NY"	
"en"	"29104385"	"29104385"	"@StephanieTejada goodmorning beautiful hope that u have a great day also"	"Wed, 30 Mar 2011 14:18:19 +0000"	"http://a1.twimg.com/profile_images/1150504842/IMG-20101014-00048_normal.jpg"	"53098736141877251"	"StephanieTejada"	"<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>"	"53098736141877251"	"D3m0nchild"	"151504910"	"{u'result_type': u'recent'}"	"None"	"151504910"	"Brooklyn, New York City"	
"en"	"None"	"None"	"RT @miilkkk: I hope you choke on the lies you tell; but then again.. Its kind of hard to swallow that much bullshit"	"Wed, 30 Mar 2011 14:18:13 +0000"	"http://a3.twimg.com/profile_images/1285130982/image_normal.jpg"	"53098708274909185"		"<a href="http://mobile.twitter.com" rel="nofollow">Twitter for Android</a>"	"53098708274909185"	"Fredwreck_"	"257793120"	"{u'result_type': u'recent'}"	"None"	"257793120"	"Brooklyn ,NY"	
"en"	"None"	"None"	"RT @miilkkk: I hope you choke on the lies you tell; but then again.. Its kind of hard to swallow that much bullshit"	"Wed, 30 Mar 2011 14:18:11 +0000"	"http://a3.twimg.com/profile_images/1290380596/image_normal.jpg"	"53098700360253440"		"<a href="http://mobile.twitter.com" rel="nofollow">Twitter for Android</a>"	"53098700360253440"	"_TyFlyGuy"	"262544137"	"{u'result_type': u'recent'}"	"None"	"262544137"	"Brooklyn ,NY"	
"en"	"32784017"	"32784017"	"@Roxyqs911 Hi Jackie, Thurs I'll be at Aqu w/ Sandy L. to watch my horse Sun Dance Moon run, come up for a soda if you can. Hope alls well."	"Wed, 30 Mar 2011 14:18:10 +0000"	"http://a3.twimg.com/profile_images/1288405880/24944_381846899629_844139629_3683918_305117_s_normal.jpg"	"53098695461306368"	"Roxyqs911"	"<a href="http://twitter.com/">web</a>"	"53098695461306368"	"Eddie11214"	"259879251"	"{u'result_type': u'recent'}"	"None"	"259879251"	"Brooklyn, NY"	
"en"	"45366464"	"45366464"	"@drz0 Glad that you value our content & hope you'll consider subscribing. Just 99¢ for your first 4 weeks http://www.nytimes.com/access /BES"	"Wed, 30 Mar 2011 14:18:07 +0000"	"http://a2.twimg.com/profile_images/1276133073/twitter_badge_normal.jpg"	"53098682358300672"	"drz0"	"<a href="http://www.radian6.com" rel="nofollow">Radian6 </a>"	"53098682358300672"	"NYTdigitalsubs"	"252067900"	"{u'result_type': u'recent'}"	"None"	"252067900"	"New York"	
"pt"	"None"	"None"	"Photo : Selena Concert For Hope http://tumblr.com/xap1xlu4b9"	"Wed, 30 Mar 2011 14:18:04 +0000"	"http://a1.twimg.com/profile_images/1289412391/semiisbackkkk_normal.jpg"	"53098669590851584"		"<a href="http://www.tumblr.com/" rel="nofollow">Tumblr</a>"	"53098669590851584"	"selenagomezBraz"	"74745418"	"{u'result_type': u'recent'}"	"None"	"74745418"	"Waverly Place"	
"en"	"None"	"None"	"RT @miilkkk: I hope you choke on the lies you tell; but then again.. Its kind of hard to swallow that much bullshit"	"Wed, 30 Mar 2011 14:18:00 +0000"	"http://a2.twimg.com/profile_images/1242937455/image_normal.jpg"	"53098653220483072"		"<a href="http://mobile.twitter.com" rel="nofollow">Twitter for Android</a>"	"53098653220483072"	"K_bandy"	"229433990"	"{u'result_type': u'recent'}"	"None"	"229433990"	"Brooklyn ,NY"	
"en"	"None"	"None"	"RT @miilkkk: I hope you choke on the lies you tell; but then again.. Its kind of hard to swallow that much bullshit"	"Wed, 30 Mar 2011 14:17:58 +0000"	"http://a3.twimg.com/profile_images/1290894493/207301_177153945665015_100001112312028_386804_5744320_n_normal.jpg"	"53098644932534273"		"<a href="http://mobile.twitter.com" rel="nofollow">Twitter for Android</a>"	"53098644932534273"	"B__spiff"	"200475145"	"{u'result_type': u'recent'}"	"None"	"200475145"	"Brooklyn ,NY"	
